city_counry,avg_temp,year,5-years MA,X-Axis
"Riyadh, Saudi Arabia",24.74,1843,,
"Riyadh, Saudi Arabia",15.45,1844,,
"Riyadh, Saudi Arabia",20.82,1845,,
"Riyadh, Saudi Arabia",24.56,1848,,
"Riyadh, Saudi Arabia",24.8,1849,,20
"Riyadh, Saudi Arabia",24.34,1850,,20.1
"Riyadh, Saudi Arabia",25.03,1851,,20.2
"Riyadh, Saudi Arabia",24.85,1852,,20.3
"Riyadh, Saudi Arabia",24.93,1853,23.28,20.4
"Riyadh, Saudi Arabia",24.72,1854,23.27777778,20.5
"Riyadh, Saudi Arabia",24.92,1855,24.33,20.6
"Riyadh, Saudi Arabia",24.57,1856,24.74666667,20.7
"Riyadh, Saudi Arabia",24.26,1857,24.71333333,20.8
"Riyadh, Saudi Arabia",25.01,1858,24.73666667,20.9
"Riyadh, Saudi Arabia",24.95,1859,24.80444444,21
"Riyadh, Saudi Arabia",24.94,1860,24.79444444,21.1
"Riyadh, Saudi Arabia",24.13,1861,24.71444444,21.2
"Riyadh, Saudi Arabia",23.77,1862,24.58555556,21.3
"Riyadh, Saudi Arabia",24.28,1863,24.53666667,21.4
"Riyadh, Saudi Arabia",25.03,1864,24.54888889,21.5
"Riyadh, Saudi Arabia",25.23,1865,24.62222222,21.6
"Riyadh, Saudi Arabia",24.92,1866,24.69555556,21.7
"Riyadh, Saudi Arabia",25.22,1867,24.71888889,21.8
"Riyadh, Saudi Arabia",25,1868,24.72444444,21.9
"Riyadh, Saudi Arabia",25.3,1869,24.76444444,22
"Riyadh, Saudi Arabia",25.02,1870,24.86333333,22.1
"Riyadh, Saudi Arabia",24.73,1871,24.97,22.2
"Riyadh, Saudi Arabia",24.87,1872,25.03555556,22.3
"Riyadh, Saudi Arabia",25.24,1873,25.05888889,22.4
"Riyadh, Saudi Arabia",24.98,1874,25.03111111,22.5
"Riyadh, Saudi Arabia",24.43,1875,24.97666667,22.6
"Riyadh, Saudi Arabia",24.89,1876,24.94,22.7
"Riyadh, Saudi Arabia",25.47,1877,24.99222222,22.8
"Riyadh, Saudi Arabia",25.51,1878,25.01555556,22.9
"Riyadh, Saudi Arabia",25.24,1879,25.04,23
"Riyadh, Saudi Arabia",24.8,1880,25.04777778,23.1
"Riyadh, Saudi Arabia",25.63,1881,25.13222222,23.2
"Riyadh, Saudi Arabia",24.66,1882,25.06777778,23.3
"Riyadh, Saudi Arabia",25.19,1883,25.09111111,23.4
"Riyadh, Saudi Arabia",24.8,1884,25.13222222,23.5
"Riyadh, Saudi Arabia",24.98,1885,25.14222222,23.6
"Riyadh, Saudi Arabia",24.98,1886,25.08777778,23.7
"Riyadh, Saudi Arabia",24.81,1887,25.01,23.8
"Riyadh, Saudi Arabia",25.13,1888,24.99777778,23.9
"Riyadh, Saudi Arabia",25.52,1889,25.07777778,24
"Riyadh, Saudi Arabia",25.07,1890,25.01555556,24.1
"Riyadh, Saudi Arabia",25.39,1891,25.09666667,24.2
"Riyadh, Saudi Arabia",25.22,1892,25.1,24.3
"Riyadh, Saudi Arabia",25.19,1893,25.14333333,24.4
"Riyadh, Saudi Arabia",24.66,1894,25.10777778,24.5
"Riyadh, Saudi Arabia",24.69,1895,25.07555556,24.6
"Riyadh, Saudi Arabia",24.88,1896,25.08333333,24.7
"Riyadh, Saudi Arabia",24.86,1897,25.05333333,24.8
"Riyadh, Saudi Arabia",24.88,1898,24.98222222,24.9
"Riyadh, Saudi Arabia",25.12,1899,24.98777778,25
"Riyadh, Saudi Arabia",25.29,1900,24.97666667,25.1
"Riyadh, Saudi Arabia",25.55,1901,25.01333333,25.2
"Riyadh, Saudi Arabia",25.25,1902,25.02,25.3
"Riyadh, Saudi Arabia",24.64,1903,25.01777778,25.4
"Riyadh, Saudi Arabia",25.07,1904,25.06,25.5
"Riyadh, Saudi Arabia",24.87,1905,25.05888889,25.6
"Riyadh, Saudi Arabia",24.85,1906,25.05777778,25.7
"Riyadh, Saudi Arabia",24.44,1907,25.00888889,25.8
"Riyadh, Saudi Arabia",24.95,1908,24.99,25.9
"Riyadh, Saudi Arabia",25.57,1909,25.02111111,26
"Riyadh, Saudi Arabia",24.75,1910,24.93222222,26.1
"Riyadh, Saudi Arabia",24.24,1911,24.82,26.2
"Riyadh, Saudi Arabia",24.96,1912,24.85555556,26.3
"Riyadh, Saudi Arabia",24.63,1913,24.80666667,26.4
"Riyadh, Saudi Arabia",24.94,1914,24.81444444,26.5
"Riyadh, Saudi Arabia",25.38,1915,24.87333333,26.6
"Riyadh, Saudi Arabia",24.85,1916,24.91888889,26.7
"Riyadh, Saudi Arabia",25.03,1917,24.92777778,26.8
"Riyadh, Saudi Arabia",24.66,1918,24.82666667,26.9
"Riyadh, Saudi Arabia",25.39,1919,24.89777778,27
"Riyadh, Saudi Arabia",24.94,1920,24.97555556,27.1
"Riyadh, Saudi Arabia",24.84,1921,24.96222222,27.2
"Riyadh, Saudi Arabia",25.35,1922,25.04222222,27.3
"Riyadh, Saudi Arabia",25.1,1923,25.06,27.4
"Riyadh, Saudi Arabia",25.69,1924,25.09444444,27.5
"Riyadh, Saudi Arabia",25,1925,25.11111111,27.6
"Riyadh, Saudi Arabia",25.19,1926,25.12888889,27.7
"Riyadh, Saudi Arabia",25.29,1927,25.19888889,27.8
"Riyadh, Saudi Arabia",25.39,1928,25.19888889,27.9
"Riyadh, Saudi Arabia",25.36,1929,25.24555556,28
"Riyadh, Saudi Arabia",25.39,1930,25.30666667,28.1
"Riyadh, Saudi Arabia",25.38,1931,25.31,28.2
"Riyadh, Saudi Arabia",24.96,1932,25.29444444,28.3
"Riyadh, Saudi Arabia",24.67,1933,25.18111111,28.4
"Riyadh, Saudi Arabia",24.97,1934,25.17777778,28.5
"Riyadh, Saudi Arabia",25.61,1935,25.22444444,28.6
"Riyadh, Saudi Arabia",25.15,1936,25.20888889,28.7
"Riyadh, Saudi Arabia",25.08,1937,25.17444444,28.8
"Riyadh, Saudi Arabia",25.11,1938,25.14666667,28.9
"Riyadh, Saudi Arabia",25.16,1939,25.12111111,29
"Riyadh, Saudi Arabia",25.51,1940,25.13555556,29.1
"Riyadh, Saudi Arabia",25.37,1941,25.18111111,29.2
"Riyadh, Saudi Arabia",25.49,1942,25.27222222,29.3
"Riyadh, Saudi Arabia",24.96,1943,25.27111111,29.4
"Riyadh, Saudi Arabia",25.6,1944,25.27,29.5
"Riyadh, Saudi Arabia",25.3,1945,25.28666667,29.6
"Riyadh, Saudi Arabia",25.49,1946,25.33222222,29.7
"Riyadh, Saudi Arabia",26,1947,25.43111111,29.8
"Riyadh, Saudi Arabia",24.85,1948,25.39666667,29.9
"Riyadh, Saudi Arabia",24.82,1949,25.32,30
"Riyadh, Saudi Arabia",24.98,1950,25.27666667,
"Riyadh, Saudi Arabia",26.1,1951,25.34444444,
"Riyadh, Saudi Arabia",25.72,1952,25.42888889,
"Riyadh, Saudi Arabia",25.51,1953,25.41888889,
"Riyadh, Saudi Arabia",25.8,1954,25.47444444,
"Riyadh, Saudi Arabia",25.33,1955,25.45666667,
"Riyadh, Saudi Arabia",25.02,1956,25.34777778,
"Riyadh, Saudi Arabia",24.69,1957,25.33,
"Riyadh, Saudi Arabia",25.64,1958,25.42111111,
"Riyadh, Saudi Arabia",24.14,1959,25.32777778,
"Riyadh, Saudi Arabia",25.67,1960,25.28,
"Riyadh, Saudi Arabia",25.12,1961,25.21333333,
"Riyadh, Saudi Arabia",26.1,1962,25.27888889,
"Riyadh, Saudi Arabia",25.54,1963,25.25,
"Riyadh, Saudi Arabia",25.14,1964,25.22888889,
"Riyadh, Saudi Arabia",25.59,1965,25.29222222,
"Riyadh, Saudi Arabia",26.16,1966,25.45555556,
"Riyadh, Saudi Arabia",24.87,1967,25.37,
"Riyadh, Saudi Arabia",25.21,1968,25.48888889,
"Riyadh, Saudi Arabia",26.05,1969,25.53111111,
"Riyadh, Saudi Arabia",25.84,1970,25.61111111,
"Riyadh, Saudi Arabia",24.93,1971,25.48111111,
"Riyadh, Saudi Arabia",24.74,1972,25.39222222,
"Riyadh, Saudi Arabia",25.6,1973,25.44333333,
"Riyadh, Saudi Arabia",25.4,1974,25.42222222,
"Riyadh, Saudi Arabia",25.04,1975,25.29777778,
"Riyadh, Saudi Arabia",24.97,1976,25.30888889,
"Riyadh, Saudi Arabia",25.99,1977,25.39555556,
"Riyadh, Saudi Arabia",25.95,1978,25.38444444,
"Riyadh, Saudi Arabia",26.2,1979,25.42444444,
"Riyadh, Saudi Arabia",25.83,1980,25.52444444,
"Riyadh, Saudi Arabia",25.95,1981,25.65888889,
"Riyadh, Saudi Arabia",24.62,1982,25.55,
"Riyadh, Saudi Arabia",24.85,1983,25.48888889,
"Riyadh, Saudi Arabia",25.05,1984,25.49,
"Riyadh, Saudi Arabia",25.3,1985,25.52666667,
"Riyadh, Saudi Arabia",25.36,1986,25.45666667,
"Riyadh, Saudi Arabia",26.37,1987,25.50333333,
"Riyadh, Saudi Arabia",25.99,1988,25.48,
"Riyadh, Saudi Arabia",25.05,1989,25.39333333,
"Riyadh, Saudi Arabia",25.7,1990,25.36555556,
"Riyadh, Saudi Arabia",25.43,1991,25.45555556,
"Riyadh, Saudi Arabia",24.37,1992,25.40222222,
"Riyadh, Saudi Arabia",25.42,1993,25.44333333,
"Riyadh, Saudi Arabia",26.08,1994,25.53,
"Riyadh, Saudi Arabia",25.64,1995,25.56111111,
"Riyadh, Saudi Arabia",26.28,1996,25.55111111,
"Riyadh, Saudi Arabia",25.49,1997,25.49555556,
"Riyadh, Saudi Arabia",26.73,1998,25.68222222,
"Riyadh, Saudi Arabia",26.92,1999,25.81777778,
"Riyadh, Saudi Arabia",26.55,2000,25.94222222,
"Riyadh, Saudi Arabia",26.67,2001,26.19777778,
"Riyadh, Saudi Arabia",26.44,2002,26.31111111,
"Riyadh, Saudi Arabia",26.62,2003,26.37111111,
"Riyadh, Saudi Arabia",26.2,2004,26.43333333,
"Riyadh, Saudi Arabia",26.27,2005,26.43222222,
"Riyadh, Saudi Arabia",26.24,2006,26.51555556,
"Riyadh, Saudi Arabia",26.49,2007,26.48888889,
"Riyadh, Saudi Arabia",26.21,2008,26.41,
"Riyadh, Saudi Arabia",26.71,2009,26.42777778,
"Riyadh, Saudi Arabia",27.37,2010,26.50555556,
"Riyadh, Saudi Arabia",26.4,2011,26.50111111,
"Riyadh, Saudi Arabia",26.83,2012,26.52444444,
"Riyadh, Saudi Arabia",27.78,2013,26.7,
